auction_id,after_repair_value,auction_date,auction_status,baths,bedrooms,bid_count,cash_only,est_debt,est_opening_bid,estimated_value,financing_available,home_square_footage,href,interior_access,lot_size,occupancy_status,online_event,opening_bid,propertyViews,property_address,property_city,property_county,property_id,property_occupancy_status,property_state_code,property_type,property_zip,saved_count,status_label,trustee_sale,venue_code,venue_id,venue_type,year_built,zestimate_amount,zestimate_valuation_range_high,zestimate_valuation_range_low,zillow_id,zillow_lasl_sold_price,zillow_last_date_sold
2807564.0,530000,2019-09-25,Unknown,2.5,3.0,0.0,1.0,523041.0,,530000.0,0.0,1805.0,/details/319-turnstone-circ-pittsburg-ca-94565-2807564-e_13495a,0.0,0.06,,0.0,,167.0,319 TURNSTONE CIRC,Pittsburg,Contra Costa,2807564,Occupied,CA,SFR,94565,17.0,Completed - Pending Sale Result,1.0,AA1001,388847.0,Live,2005.0,,,,,,
2839792.0,624000,2019-09-25,Unknown,2.0,2.0,0.0,1.0,,,624000.0,0.0,1279.0,/details/528-palm-ave-martinez-ca-94553-2839792-e_900x,0.0,0.15,,0.0,,100.0,528 PALM AVE,Martinez,Contra Costa,2839792,Occupied,CA,SFR,94553,13.0,Completed - Pending Sale Result,1.0,AA1002,388847.0,Live,1950.0,,,,,,
2738815.0,Not Available,2019-09-26,Gone,2.0,4.0,0.0,1.0,213493.0,213493.97,,0.0,2095.0,/details/139--141-n-alameda-avenue-azusa-ca-91702-2738815-e_13494,0.0,0.16,,0.0,213493.97,732.0,139 N ALAMEDA AVENUE,AZUSA,Los Angeles,2738815,Occupied,CA,Duplex,91702,37.0,Completed - Sold to 3rd Party,1.0,AA1077,371133.0,Live,1954.0,,,,,,
2840098.0,442000,2019-10-02,Gone,2.0,3.0,0.0,1.0,330365.0,255000.0,442000.0,0.0,1794.0,/details/717-college-avenue-modesto-ca-95350-2840098-e_13547,0.0,0.19,,0.0,255000.0,451.0,717 COLLEGE AVENUE,Modesto,Stanislaus,2840098,Occupied,CA,SFR,95350,9.0,Completed - Reverted to Beneficiary,1.0,AC2009,392509.0,Live,1978.0,,,,,,
2711973.0,Not Available,2019-10-01,Unknown,,4.0,0.0,1.0,,,,0.0,1450.0,/details/22-ethel-avenue-mill-valley-ca-94941-2711973-e_13547a,0.0,0.47,,0.0,,2081.0,22 ETHEL AVENUE,MILL VALLEY,Marin,2711973,Occupied,CA,SFR,94941,78.0,Completed - Pending Sale Result,1.0,ZY2000,402521.0,Live,1983.0,,,,,,
2844456.0,Not Available,2019-10-02,Gone,1.5,2.0,0.0,1.0,456673.0,456673.13,,0.0,1058.0,/details/1870-vollmer-way-san-jose-ca-95116-2844456-e_13547,0.0,0.15,,0.0,456673.13,593.0,1870 VOLLMER WAY,San Jose,Santa Clara,2844456,Occupied,CA,SFR,95116,21.0,Completed - Sold to 3rd Party,1.0,AH4510,398089.0,Live,1948.0,,,,,,
2837296.0,280000,2019-10-03,Gone,1.0,2.0,0.0,1.0,56505.0,56505.34,280000.0,0.0,1279.0,/details/503-e-barrymore-st-stockton-ca-95204-2837296-e_13547,0.0,0.13,,0.0,56505.34,410.0,503 E BARRYMORE ST,Stockton,San Joaquin,2837296,Occupied,CA,SFR,95204,7.0,Completed - Sold to 3rd Party,1.0,ZV24509,385706.0,Live,1947.0,,,,,,
2663728.0,595000,2019-10-03,Gone,2.0,4.0,0.0,1.0,487914.0,335000.0,595000.0,0.0,1641.0,/details/550-mcfall-ct-santa-rosa-ca-95401-2663728-e_13547,0.0,0.15,,0.0,335000.0,586.0,550 MCFALL CT,Santa Rosa,Sonoma,2663728,Occupied,CA,SFR,95401,61.0,Completed - Reverted to Beneficiary,1.0,AF3503,393144.0,Live,1968.0,,,,,,
2722749.0,1249000,2019-10-02,Gone,2.0,4.0,0.0,1.0,555951.0,100.0,1249000.0,0.0,1140.0,/details/186-buckingham-avenue-redwood-city-ca-94063-2722749-e_13547,0.0,0.12,,0.0,100.0,883.0,186 BUCKINGHAM AVENUE,Redwood City,San Mateo,2722749,Occupied,CA,SFR,94063,55.0,Completed - Sold to 3rd Party,1.0,AG4001,398088.0,Live,1938.0,,,,,,
2833233.0,Not Available,2019-09-30,Unknown,,,0.0,1.0,,,,0.0,,/details/123-nolan-ct-forestville-ca-95436-2833233-e_13547a,0.0,,,0.0,,833.0,123 NOLAN CT,Forestville,Sonoma,2833233,Occupied,CA,,95436,23.0,Completed - Pending Sale Result,1.0,ZW25000,405147.0,Live,,,,,,,
