,zillow_id,zestimate_amount,zestimate_valuation_range_high,zestimate_valuation_range_low,zillow_last_date_sold,zillow_last_sold_price,city,venue_code,auction_date,venue_id,venue_type,trustee_sale,online_event,financing_available,interior_access,cash_only,property_id,property_address,property_city,property_zip,lot_size,home_square_footage,bedrooms,baths,year_built,property_county,property_occupancy_status,property_type,property_state_code,saved_count,status_label,estimated_value,occupancy_status,after_repair_value,auction_status,bid_count,propertyViews
1455834,94697372,280099.0,308109.0,254890.0,11/15/2019,280000,,TZ1506,2019-11-26,401311,Live,True,False,False,False,True,1455834,1514 WALBURY ST,Stockton,95206,0.08,1623.0,3.0,2.5,2007.0,San Joaquin,Occupied,SFR,CA,8.0,Active - Scheduled for Auction,359000.0,,359000,Unknown,0,29
2752448,24904945,,,,08/28/2019,595100,,SM36041,2019-11-06,383622,Live,True,False,False,False,True,2752448,2529 NORDELL AVENUE,Castro Valley,94546,0.12,1150.0,3.0,2.0,1953.0,Alameda,Occupied,SFR,CA,47.0,Active - Scheduled for Auction,947000.0,,947000,Unknown,0,21
2757592,50915892,554987.0,616036.0,499488.0,11/08/2019,555000,,AE3011,2019-11-04,394024,Live,True,False,False,False,True,2757592,938 COUNTRY GLEN LANE,Brentwood,94513,0.13,2297.0,4.0,3.0,1999.0,Contra Costa,Occupied,SFR,CA,124.0,Active - Scheduled for Auction,638000.0,,638000,Unknown,0,390
2758482,16116114,684025.0,725067.0,615623.0,11/12/2019,551250,,GT78333,2019-10-14,404572,,,True,,,,2758482,302 EAST BEACH STREET,WATSONVILLE,95076,,,,,1908.0,Santa Cruz,,SFR,,,Pending,,Occupied,945000,Sold,9,555
2763854,18547488,,,,09/19/2019,300000,,AA1000,2019-10-28,402533,Live,True,False,False,False,True,2763854,234 S 5TH ST,Richmond,94804,0.13,2388.0,6.0,2.0,1926.0,Contra Costa,Occupied,Duplex,CA,46.0,Active - Scheduled for Auction,621000.0,,621000,Unknown,0,785
2764336,19864176,,,,10/22/2019,875000,,AH4500,2019-10-02,398089,Live,True,False,False,False,True,2764336,3130 GODFREY AVENUE,Gilroy,95020,2.49,2098.0,4.0,2.0,1974.0,Santa Clara,Occupied,SFR,CA,17.0,Active - Scheduled for Auction,1298000.0,,1298000,Unknown,0,116
2767253,18303570,,,,09/25/2019,394000,,AE3014,2019-09-24,392505,Live,True,False,False,False,True,2767253,4516 SHANNONDALE DRIVE,Antioch,94531,0.11,2004.0,4.0,3.0,1990.0,Contra Costa,Occupied,SFR,CA,148.0,Completed - Sold to 3rd Party,562000.0,,562000,Gone,0,1566
2799446,24972089,,,,09/06/2019,608000,,AC2000,2019-10-30,416958,Live,True,False,False,False,True,2799446,22558 6TH ST,Hayward,94541,0.12,1849.0,3.0,1.5,1939.0,Alameda,Occupied,SFR,CA,29.0,Active - Scheduled for Auction,832000.0,,832000,Unknown,0,125
2801984,18440300,646888.0,679232.0,608075.0,10/01/2019,640500,,AI78332,2019-08-19,388967,,,True,,,,2801984,303 DAYBREAK COURT,SAN RAMON,94583,,,,,1995.0,Contra Costa,,Townhouse,,,Sold,,Vacant,703000,Sold,14,6289
2807241,25830896,,,,10/01/2019,403200,,EY13027,2019-09-24,382145,Live,True,False,False,False,True,2807241,36 FALLWIND CIRCLE,Sacramento,95831,0.21,1706.0,3.0,2.0,1982.0,Sacramento,Occupied,SFR,CA,26.0,Completed - Reverted to Beneficiary,504000.0,,504000,Gone,0,1018
2815566,16003822,,,,08/22/2019,188730,,YY26404,2019-09-16,397355,,,True,,,,2815566,1424 VICTORIA DR,MODESTO,95351,,,,,1940.0,Stanislaus,,SFR,,,Pending,,Occupied,287000,Sold,6,466
