,zillow_id,zestimate_amount,zestimate_valuation_range_high,zestimate_valuation_range_low,zillow_last_date_sold,zillow_last_sold_price,city,venue_code,auction_date,venue_id,venue_type,trustee_sale,online_event,financing_available,interior_access,cash_only,property_id,property_address,property_city,property_zip,lot_size,home_square_footage,bedrooms,baths,year_built,property_county,property_occupancy_status,property_type,property_state_code,saved_count,status_label,estimated_value,occupancy_status,after_repair_value,auction_status,bid_count,propertyViews
2752448,24904945,,,,08/28/2019,595100,,SM36041,2019-11-06,383622,Live,True,False,False,False,True,2752448,2529 NORDELL AVENUE,Castro Valley,94546,0.12,1150.0,3.0,2.0,1953.0,Alameda,Occupied,SFR,CA,47.0,Active - Scheduled for Auction,947000.0,,947000,Unknown,0,21
2763854,18547488,,,,09/19/2019,300000,,AA1000,2019-10-28,402533,Live,True,False,False,False,True,2763854,234 S 5TH ST,Richmond,94804,0.13,2388.0,6.0,2.0,1926.0,Contra Costa,Occupied,Duplex,CA,46.0,Active - Scheduled for Auction,621000.0,,621000,Unknown,0,785
2764336,19864176,,,,10/22/2019,875000,,AH4500,2019-10-02,398089,Live,True,False,False,False,True,2764336,3130 GODFREY AVENUE,Gilroy,95020,2.49,2098.0,4.0,2.0,1974.0,Santa Clara,Occupied,SFR,CA,17.0,Active - Scheduled for Auction,1298000.0,,1298000,Unknown,0,116
2767253,18303570,,,,09/25/2019,394000,,AE3014,2019-09-24,392505,Live,True,False,False,False,True,2767253,4516 SHANNONDALE DRIVE,Antioch,94531,0.11,2004.0,4.0,3.0,1990.0,Contra Costa,Occupied,SFR,CA,148.0,Completed - Sold to 3rd Party,562000.0,,562000,Gone,0,1566
2799446,24972089,,,,09/06/2019,608000,,AC2000,2019-10-30,416958,Live,True,False,False,False,True,2799446,22558 6TH ST,Hayward,94541,0.12,1849.0,3.0,1.5,1939.0,Alameda,Occupied,SFR,CA,29.0,Active - Scheduled for Auction,832000.0,,832000,Unknown,0,125
2801984,18440300,646888.0,679232.0,608075.0,10/01/2019,640500,,AI78332,2019-08-19,388967,,,True,,,,2801984,303 DAYBREAK COURT,SAN RAMON,94583,,,,,1995.0,Contra Costa,,Townhouse,,,Sold,,Vacant,703000,Sold,14,6289
2807241,25830896,,,,10/01/2019,403200,,EY13027,2019-09-24,382145,Live,True,False,False,False,True,2807241,36 FALLWIND CIRCLE,Sacramento,95831,0.21,1706.0,3.0,2.0,1982.0,Sacramento,Occupied,SFR,CA,26.0,Completed - Reverted to Beneficiary,504000.0,,504000,Gone,0,1018
2815566,16003822,,,,08/22/2019,188730,,YY26404,2019-09-16,397355,,,True,,,,2815566,1424 VICTORIA DR,MODESTO,95351,,,,,1940.0,Stanislaus,,SFR,,,Pending,,Occupied,287000,Sold,6,466
2821809,15337290,,,,09/17/2019,240000,,ZW25010,2019-09-19,389263,Live,True,False,False,False,True,2821809,1729 TERRA VISTA LANE,Stockton,95206,0.11,1680.0,4.0,3.0,1996.0,San Joaquin,,SFR,CA,31.0,Completed - Sold to 3rd Party,360000.0,,360000,Gone,0,672
2821924,247629187,,,,10/23/2019,487000,,AA1006,2019-10-09,384416,Live,True,False,False,False,True,2821924,446 GREENBRIER COURT,Benicia,94510,0.13,1090.0,2.0,2.0,1982.0,Solano,,SFR,CA,16.0,Active - Scheduled for Auction,575000.0,,575000,Unknown,0,474
2828519,25895465,,,,09/30/2019,274000,,AI56501,2019-08-25,392248,,,True,,,,2828519,10237 COUNTRYSIDE WAY,Sacramento,95827,,,,,1979.0,Santa Clara,,SFR,,,Sold,,Vacant,396000,Sold,18,1740
2831245,25846203,,,,10/03/2019,176500,,ZI18024,2019-09-10,378717,Live,True,False,False,False,True,2831245,1551 BELINDA WAY,Sacramento,95822,0.17,1079.0,3.0,2.0,1960.0,Sacramento,,SFR,CA,17.0,Completed - Sold to 3rd Party,299000.0,,299000,Gone,0,557
2831476,15785605,372949.0,391596.0,354302.0,10/15/2019,302165,,AJ14344,2019-09-05,394871,,,True,,,,2831476,1142 Corby Avenue,Santa Rosa,95407,,,,,1946.0,Sonoma,,SFR,,,Pending,,Occupied,Not Available,Sold subject to,4,362
2834872,15673501,,,,09/25/2019,215100,,ZX20510,2019-09-25,383724,Live,True,False,False,False,True,2834872,156 JORDAN STREET,Vallejo,94591,0.18,1092.0,3.0,1.0,1942.0,Solano,Occupied,SFR,CA,18.0,Completed - Sold to 3rd Party,388000.0,,388000,Gone,0,620
2837296,15314332,,,,10/03/2019,25000,,ZV24509,2019-10-03,385706,Live,True,False,False,False,True,2837296,503 E BARRYMORE ST,Stockton,95204,0.13,1279.0,2.0,1.0,1947.0,San Joaquin,Occupied,SFR,CA,7.0,Completed - Sold to 3rd Party,280000.0,,280000,Gone,0,410
2838498,25945730,,,,10/17/2019,535000,,ZW2025,2019-10-08,386312,Live,True,False,False,False,True,2838498,9069 QUAIL FEATHER WAY,Elk Grove,95624,0.23,3342.0,4.0,3.0,2002.0,Sacramento,Occupied,SFR,CA,0.0,Active - Scheduled for Auction,,,Not Available,Unknown,0,0
2839660,153566159,,,,10/17/2019,480000,,AH4509,2019-10-02,398089,Live,True,False,False,False,True,2839660,452 MADISON COURT,Gilroy,95020,0.01,1160.0,3.0,1.5,1988.0,Santa Clara,Occupied,Condo,CA,3.0,Active - Scheduled for Auction,499000.0,,499000,Unknown,0,73
2844455,25792931,,,,10/21/2019,285000,,ZW2045,2019-10-08,386312,Live,True,False,False,False,True,2844455,6261 2ND AVE,Sacramento,95817,,,,,,Sacramento,Occupied,,CA,0.0,Active - Scheduled for Auction,,,Not Available,Unknown,0,0
2853576,19290112,,,,10/17/2019,250000,,ZX15006,2019-10-23,401296,Live,True,False,False,False,True,2853576,49 CALYPSO SHORES,Novato,94949,0.24,1935.0,4.0,2.0,1965.0,Marin,Occupied,SFR,CA,3.0,Active - Scheduled for Auction,1511000.0,,1511000,Unknown,0,31
2824815,25954083,347753,386006,312978,10/16/2019,281500,,EY13010,2019-09-24,382145,Live,True,False,False,False,True,2824815,167 W C STREET,Galt,95632,0.15,1733,3,2,1992,Sacramento,Occupied,SFR,CA,15.0,Completed - Sold to 3rd Party,410000.0,,410000,Gone,0,242
2824104,24786352,,,,10/04/2019,402000,,ZJ18507,2019-09-12,381258,Live,True,False,False,False,True,2824104,6625 HILLMONT DR,Oakland,94605,0.17,957,1,1.5,1925,Alameda,Occupied,SFR,CA,25.0,Completed - Sold to 3rd Party,710000.0,,710000,Gone,0,823
2860749,119688877,,,,10/08/2019,2000,,ZE16004,2019-11-14,411855,Live,True,False,False,False,True,2860749,2171 NECTARINE DR,Santa Rosa,95404,0.08,1636,3,3,2007,Sonoma,Occupied,SFR,CA,0.0,Active - Scheduled for Auction,726000.0,,726000,Unknown,0,19
